
Rk,,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
97,Latavius Murray*,OAK,25,RB,16,16,6,,,,,,,6,,,,,,,,36,
98,Emmanuel Sanders,DEN,28,WR,15,15,,6,,,,,,6,,,,,,,,36,
99,Darren Sproles*,PHI,32,rb,16,4,3,1,2,,,,,6,,,,,,,,36,
100,Golden Tate,DET,27,WR,16,16,,6,,,,,,6,,,,,,,,36,
101,Demaryius Thomas,DEN,28,WR,16,16,,6,,,,,,6,,,,,,,,36,
102,Spencer Ware,KAN,24,rb,11,2,6,,,,,,,6,,,,,,,,36,
103,Ben Watson,NOR,35,TE,16,16,,6,,,,,,6,,,,,,,,36,
104,James White,NWE,23,rb,14,1,2,4,,,,,,6,,,,,,,,36,
105,Jameis Winston*,TAM,21,QB,16,16,6,,,,,,,6,,,,,,,,36,
106,Travis Kelce*,KAN,26,TE,16,16,,5,,,,,,5,2,,,,,,,34,
107,LeSean McCoy*,BUF,27,RB,12,12,3,2,,,,,,5,1,,,,,,,32,
108,Seth Roberts,OAK,24,wr,16,5,,5,,,,,,5,1,,,,,,,32,
109,Markus Wheaton,PIT,24,wr,16,8,,5,,,,,,5,1,,,,,,,32,
110,Kamar Aiken,BAL,26,WR,16,14,,5,,,,,,5,,,,,,,,30,
111,C.J. Anderson,DEN,24,rb,15,5,5,,,,,,,5,,,,,,,,30,
112,Cole Beasley,DAL,26,wr,16,3,,5,,,,,,5,,,,,,,,30,
113,Jamaal Charles,KAN,29,rb,5,5,4,1,,,,,,5,,,,,,,,30,
114,Kirk Cousins,WAS,27,QB,16,16,5,,,,,,,5,,,,,,,,30,
115,Isaiah Crowell,CLE,22,rb,16,9,4,1,,,,,,5,,,,,,,,30,
116,Eric Ebron,DET,22,te,14,8,,5,,,,,,5,,,,,,,,30,
117,Devin Funchess,CAR,21,wr,16,5,,5,,,,,,5,,,,,,,,30,
118,Antonio Gates,SDG,35,te,11,4,,5,,,,,,5,,,,,,,,30,
119,T.Y. Hilton*,IND,26,WR,16,15,,5,,,,,,5,,,,,,,,30,
Rk,,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
120,Jermaine Kearse,SEA,25,WR,16,16,,5,,,,,,5,,,,,,,,30,
121,Eddie Lacy,GNB,25,RB,15,12,3,2,,,,,,5,,,,,,,,30,
122,Zach Miller,CHI,31,TE,15,14,,5,,,,,,5,,,,,,,,30,
123,Thomas Rawls,SEA,22,rb,13,7,4,1,,,,,,5,,,,,,,,30,
124,Kyle Rudolph,MIN,26,TE,16,16,,5,,,,,,5,,,,,,,,30,
125,James Starks,GNB,29,rb,16,4,2,3,,,,,,5,,,,,,,,30,
126,Julius Thomas,JAX,27,TE,12,11,,5,,,,,,5,,,,,,,,30,
127,Charcandrick West,KAN,24,rb,15,9,4,1,,,,,,5,,,,,,,,30,
128,Ladarius Green,SDG,25,TE,13,11,,4,,,,,,4,2,,,,,,,28,
129,Dorial Green-Beckham,TEN,22,wr,16,5,,4,,,,,,4,1,,,,,,,26,
130,Rashad Jennings,NYG,30,RB,16,16,3,1,,,,,,4,,,,,,,1,26,
131,Torrey Smith,SFO,26,WR,16,12,,4,,,,,,4,1,,,,,,,26,
132,Tyrod Taylor*,BUF,26,QB,14,14,4,,,,,,,4,1,,,,,,,26,
133,Keenan Allen,SDG,23,wr,8,8,,4,,,,,,4,,,,,,,,24,
134,Joique Bell,DET,29,rb,13,5,4,,,,,,,4,,,,,,,,24,
135,Anquan Boldin,SFO,35,WR,14,13,,4,,,,,,4,,,,,,,,24,
136,Kyle Brindza,TAM,22,k,4,0,,,,,,,,,,,6,8,6,12,,24,
137,Corey Brown,CAR,24,WR,14,11,,4,,,,,,4,,,,,,,,24,
138,Scott Chandler,NWE,30,te,15,4,,4,,,,,,4,,,,,,,,24,
139,Marques Colston,NOR,32,wr,13,5,,4,,,,,,4,,,,,,,,24,
140,Stefon Diggs,MIN,22,wr,13,9,,4,,,,,,4,,,,,,,,24,
141,Crockett Gillmore,BAL,24,TE,10,10,,4,,,,,,4,,,,,,,,24,
142,Tim Hightower,NOR,29,rb,8,3,4,,,,,,,4,,,,,,,,24,
143,Andre Holmes,OAK,27,wr,16,1,,4,,,,,,4,,,,,,,,24,
144,DeSean Jackson,WAS,29,wr,10,9,,4,,,,,,4,,,,,,,,24,
145,Alshon Jeffery,CHI,25,wr,9,8,,4,,,,,,4,,,,,,,,24,
