
,,,,,Games,Games,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
Rk,,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
42,Omar Bolden,DEN,27,,9,0,5,123,1,83,24.6,15,342,0,41,22.8,465
43,Travis Carrie,OAK,25,CB,15,14,19,118,0,22,6.2,,,,,,118
44,Raheem Mostert,3TM,,,11,0,,,,,,19,530,0,53,27.9,530
45,Rashad Greene,JAX,23,,9,0,18,301,1,73,16.7,,,,,,394
46,Javontee Herndon,SDG,24,wr,8,2,11,81,0,18,7.4,7,157,0,34,22.4,446
47,Nick Marshall,JAX,23,cb,13,1,5,30,0,20,6.0,13,346,0,36,26.6,376
48,Keshawn Martin,NWE,25,wr,9,8,8,92,0,21,11.5,10,257,0,75,25.7,624
49,Emmanuel Sanders,DEN,28,WR,15,15,17,103,0,14,6.1,1,13,0,13,13.0,1280
50,Devin Hester,ATL,33,,5,0,8,34,0,11,4.3,9,235,0,35,26.1,269
51,Antonio Cromartie,NYJ,31,CB,15,15,,,,,,15,377,0,54,25.1,377
52,Dri Archer,PIT,24,,8,0,,,,,,14,354,0,38,25.3,354
53,Frankie Hammond,KAN,25,,10,0,14,115,0,29,8.2,,,,,,115
54,Jeff Janis,GNB,24,,16,0,,,,,,14,406,0,70,29.0,485
55,Deonte Thompson,CHI,26,,7,0,,,,,,14,409,0,74,29.2,490
56,Shane Vereen,NYG,26,,16,0,,,,,,14,321,0,46,22.9,1076
57,Cole Beasley,DAL,26,wr,16,3,12,69,0,22,5.8,,,,,,605
58,Justin Gilbert,CLE,24,db,9,1,,,,,,12,339,0,40,28.3,339
59,T.J. Jones,DET,23,,10,0,7,59,0,28,8.4,5,106,0,34,21.2,294
,,,,,Games,Games,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
Rk,,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
60,Bryan Walters,JAX,28,wr,11,1,8,30,0,14,3.8,4,80,0,28,20.0,478
61,Harry Douglas,TEN,31,WR,14,12,11,73,0,18,6.6,,,,,,478
62,Julian Edelman,NWE,29,wr,9,9,10,81,0,19,8.1,,,,,,796
63,Tre McBride,TEN,23,,7,0,,,,,,10,190,0,31,19.0,206
64,Denarius Moore,BUF,27,,5,0,5,77,0,27,15.4,5,70,0,20,14.0,147
65,Zac Stacy,NYJ,24,,8,0,,,,,,10,204,0,31,20.4,358
66,Bishop Sankey,TEN,23,rb,13,3,,,,,,9,192,0,34,21.3,524
67,Cecil Shorts,HOU,28,wr,11,4,9,70,0,17,7.8,,,,,,601
68,Fozzy Whittaker,CAR,26,rb,15,1,,,,,,9,209,0,33,23.2,381
69,Amari Cooper*,OAK,21,WR,16,15,8,41,0,18,5.1,,,,,,1108
70,Corey Grant,JAX,24,,6,0,,,,,,8,220,0,42,27.5,235
71,Jarryd Hayne,SFO,27,rb,8,1,8,76,0,37,9.5,,,,,,155
72,Jordan Norwood,DEN,29,wr,11,5,6,51,0,14,8.5,2,29,0,15,14.5,287
73,Branden Oliver,SDG,24,rb,8,1,,,,,,8,197,0,30,24.6,417
74,Joe Webb,CAR,29,,16,0,,,,,,8,178,0,27,22.3,191
75,Kerwynn Williams,ARI,24,,6,0,,,,,,8,126,0,24,15.8,284
76,Andre Caldwell,DEN,30,,14,0,,,,,,7,162,0,29,23.1,237
77,Lance Dunbar,DAL,25,,4,0,1,4,0,4,4.0,6,146,0,32,24.3,432
78,Darius Jennings,CLE,23,wr,4,1,,,,,,7,158,0,28,22.6,275
79,Leodis McKelvin,BUF,30,cb,9,5,7,21,0,12,3.0,,,,,,21
80,Ty Montgomery,GNB,22,wr,6,3,,,,,,7,218,0,46,31.1,368
81,Quinton Patton,SFO,25,wr,16,4,,,,,,7,157,0,35,22.4,556
82,Andre Roberts,WAS,27,,9,0,,,,,,7,231,1,99,33.0,366
83,C.J. Spiller,NOR,28,rb,13,2,,,,,,7,149,0,26,21.3,500
84,DeAndrew White,SFO,,,4,0,1,4,0,4,4.0,6,142,0,30,23.7,164
85,Michael Campanaro,BAL,24,,4,0,3,49,0,21,16.3,3,79,0,29,26.3,180
86,Tyler Varga,IND,22,,3,0,,,,,,6,151,0,30,25.2,171
87,B.J. Daniels,2TM,26,,8,0,5,25,0,11,5.0,,,,,,49
88,Shaun Draughn,2TM,28,,11,6,,,,,,5,106,0,31,21.2,555
89,Percy Harvin,BUF,27,wr,5,5,,,,,,5,108,0,25,21.6,357
,,,,,Games,Games,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
